"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,5888,"; _ZN12_GLOBAL__N_117gemm_tiled_kernelEPKfS1_Pf",0,0,0,0,"(anonymous namespace)::gemm_tiled_kernel(float const*, float const*, float*)"
2,5888,"v_bfe_u32 v20, v0, 10, 10",512,512,0,55893,""
2,5896,"s_clause 0x1",512,1536,1024,0,""
2,5900,"s_load_b128 s[4:7], s[0:1], null",512,19659,19147,0,""
2,5908,"s_load_b64 s[2:3], s[0:1], 0x10",512,525,13,0,""
2,5916,"v_and_b32_e32 v21, 0x3ff, v0",512,7714,7202,2,""
2,5924,"s_lshl_b32 s8, s14, 3",512,640,128,0,""
2,5928,"v_lshl_add_u32 v2, s15, 3, v20",512,2374,1862,0,""
2,5936,"v_dual_mov_b32 v27, 0 :: v_dual_lshlrev_b32 v24, 5, v20",512,1110,598,97,""
2,5944,"s_delay_alu instid0(VALU_DEP_3) | instskip(SKIP_1) | instid1(VALU_DEP_4)",0,0,0,0,""
2,5948,"v_lshlrev_b32_e32 v3, 2, v21",512,1566,1054,146,""
2,5952,"v_add_nc_u32_e32 v23, s8, v21",512,1281,769,65,""
2,5956,"v_lshlrev_b32_e32 v22, 10, v2",512,1386,874,76,""
2,5960,"v_lshl_or_b32 v4, v20, 10, v21",512,1336,824,0,""
2,5968,"v_sub_nc_u32_e32 v25, 0x400, v21",512,1363,851,0,""
2,5976,"v_add_nc_u32_e32 v28, 0x100, v3",512,1154,642,0,""
2,5984,"v_add_nc_u32_e32 v26, v24, v3",512,1243,731,0,""
2,5988,"v_ashrrev_i32_e32 v1, 31, v22",512,1272,760,0,""
2,5992,"v_or_b32_e32 v0, v22, v21",512,1003,491,0,""
2,5996,"v_cmp_gt_i32_e64 s0, 0x400, v23",512,1041,529,0,""
2,6008,"v_add_nc_u32_e32 v8, s8, v4",512,1174,662,0,""
2,6012,"v_lshl_add_u32 v29, s15, 13, v4",512,1071,559,0,""
2,6020,"v_add_nc_u32_e32 v30, v28, v24",512,1134,622,0,""
2,6024,"v_lshlrev_b64 v[0:1], 2, v[0:1]",512,1024,0,645,""
2,6032,"s_mov_b32 s8, 8",512,512,0,16170,""
2,6036,"v_cmp_gt_i32_e32 vcc_lo, 0x400, v2",512,512,0,4508,""
2,6044,"s_waitcnt lgkmcnt(0)",512,29197,28685,0,""
2,6048,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6052,"v_add_co_u32 v0, s1, s4, v0",512,512,0,1063,""
2,6060,"v_add_co_ci_u32_e64 v1, null, s5, v1, s1",512,931,419,2093,""
2,6068,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6072,"v_add_co_u32 v10, s1, v0, 32",512,512,0,593,""
2,6080,"v_add_co_ci_u32_e64 v11, null, 0, v1, s1",512,1107,595,2105,""
2,6088,"s_branch 56",512,512,0,33,""
2,6092,"s_or_b32 exec_lo, exec_lo, s9",32768,32768,0,917844,""
2,6096,"v_dual_fmac_f32 v27, v4, v18 :: v_dual_add_nc_u32 v8, 0x4000, v8",32768,32768,0,291937,""
2,6108,"s_waitcnt vmcnt(0)",32768,13495305,13462537,0,""
2,6112,"ds_store_b32 v30, v9",32768,65536,0,60827,""
2,6120,"s_waitcnt lgkmcnt(0)",32768,1861802,1829034,0,""
2,6124,"s_barrier",32768,745711,32184,0,""
2,6128,"v_fmac_f32_e32 v27, v5, v19",32768,32768,0,0,""
2,6132,"buffer_gl0_inv",32768,32768,0,594884,""
2,6140,"v_add_co_u32 v10, s1, v10, 64",32768,32768,0,311418,""
2,6148,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
2,6152,"v_add_co_ci_u32_e64 v11, null, 0, v11, s1",32768,59294,26526,135648,""
2,6160,"v_fmac_f32_e32 v27, v6, v16",32768,34197,1429,22035,""
2,6164,"s_add_i32 s8, s8, 16",32768,32768,0,516685,""
2,6168,"s_cmpk_eq_i32 s8, 0x408",32768,34332,1564,32781,""
2,6172,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_3) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6176,"v_fmac_f32_e32 v27, v7, v17",32768,32768,0,27370,""
2,6180,"ds_load_b128 v[4:7], v24",32768,140577,107809,585940,""
2,6188,"ds_load_2addr_b32 v[16:17], v28 offset1:8",32768,32768,0,39151,""
2,6196,"v_fmac_f32_e32 v27, v0, v14",32768,32768,0,727260,""
2,6200,"v_fmac_f32_e32 v27, v1, v15",32768,32768,0,145526,""
2,6204,"ds_load_2addr_b32 v[14:15], v28 offset0:16 offset1:24",32768,32768,0,624569,""
2,6212,"v_fmac_f32_e32 v27, v2, v12",32768,32768,0,721725,""
2,6216,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_4) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6220,"v_fmac_f32_e32 v27, v3, v13",32768,32768,0,142641,""
2,6224,"ds_load_b128 v[0:3], v24 offset:16",32768,69569,36801,571104,""
2,6232,"ds_load_2addr_b32 v[12:13], v28 offset0:32 offset1:40",32768,32768,0,22416,""
2,6240,"s_waitcnt lgkmcnt(3)",32768,136591,103823,0,""
2,6244,"v_fmac_f32_e32 v27, v4, v16",32768,32768,0,614560,""
2,6248,"v_fmac_f32_e32 v27, v5, v17",32768,32768,0,140336,""
2,6252,"ds_load_2addr_b32 v[4:5], v28 offset0:48 offset1:56",32768,32768,0,619157,""
2,6260,"s_waitcnt lgkmcnt(0)",32768,2433282,2400514,0,""
2,6264,"s_barrier",32768,622749,38168,0,""
2,6268,"buffer_gl0_inv",32768,32768,0,0,""
2,6276,"v_fmac_f32_e32 v27, v6, v14",32768,32768,0,272027,""
2,6280,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6284,"v_fmac_f32_e32 v27, v7, v15",32768,32768,0,154279,""
