"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,6756,"s_cbranch_execz 12",512,512,0,4174,""
2,6760,"v_add_nc_u32_e32 v0, v22, v23",512,512,0,1084,""
2,6764,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6768,"v_ashrrev_i32_e32 v1, 31, v0",512,512,0,2150,""
2,6772,"v_lshlrev_b64 v[0:1], 2, v[0:1]",512,1024,0,2192,""
2,6780,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6784,"v_add_co_u32 v0, vcc_lo, s2, v0",512,512,0,2147,""
2,6792,"v_add_co_ci_u32_e64 v1, null, s3, v1, vcc_lo",512,512,0,2211,""
2,6800,"global_store_b32 v[0:1], v27, off",512,1536,0,8681,""
2,6808,"s_endpgm",512,147078,0,0,""
